wall_ts,node,seq,sample_index,value
1778045171.169931,1,594,13,65535
1778045171.169931,1,594,14,65535
1778045171.169931,1,594,15,65535
1778045171.169931,1,594,16,65535
1778045171.169931,1,594,17,65535
1778045171.169931,1,594,18,65535
1778045171.169931,1,594,19,65535
1778045171.169931,1,594,20,65535
1778045171.169931,1,594,21,65535
1778045171.169931,1,594,22,65535
1778045171.169931,1,594,23,65535
1778045171.169931,1,594,24,65535
1778045171.169931,1,594,25,65535
1778045171.169931,1,594,26,65535
1778045171.169931,1,594,27,65535
1778045171.169931,1,594,28,65535
1778045171.169931,1,594,29,65535
1778045171.169931,1,594,30,65535
1778045171.169931,1,594,31,65535
1778045171.275351,1,595,0,65535
1778045171.275351,1,595,1,65535
1778045171.275351,1,595,2,65535
1778045171.275351,1,595,3,65535
1778045171.275351,1,595,4,65535
1778045171.275351,1,595,5,65535
1778045171.275351,1,595,6,65535
1778045171.275351,1,595,7,65535
1778045171.275351,1,595,8,65535
1778045171.275351,1,595,9,65535
1778045171.275351,1,595,10,65535
1778045171.275351,1,595,11,65535
1778045171.275351,1,595,12,65535
1778045171.275351,1,595,13,65535
1778045171.275351,1,595,14,65535
1778045171.275351,1,595,15,65535
1778045171.275351,1,595,16,65535
1778045171.275351,1,595,17,65535
1778045171.275351,1,595,18,65535
1778045171.275351,1,595,19,65535
1778045171.275351,1,595,20,65535
1778045171.275351,1,595,21,65535
1778045171.275351,1,595,22,65535
1778045171.275351,1,595,23,65535
1778045171.275351,1,595,24,65535
1778045171.275351,1,595,25,65535
1778045171.275351,1,595,26,65535
1778045171.275351,1,595,27,65535
1778045171.275351,1,595,28,65535
1778045171.275351,1,595,29,65535
1778045171.275351,1,595,30,65535
1778045171.275351,1,595,31,65535
1778045171.379921,1,596,0,65535
1778045171.379921,1,596,1,65535
1778045171.379921,1,596,2,65535
1778045171.379921,1,596,3,65535
1778045171.379921,1,596,4,65535
1778045171.379921,1,596,5,65535
1778045171.379921,1,596,6,65535
1778045171.379921,1,596,7,65535
1778045171.379921,1,596,8,65535
1778045171.379921,1,596,9,65535
1778045171.379921,1,596,10,65535
1778045171.379921,1,596,11,65535
1778045171.379921,1,596,12,65535
1778045171.379921,1,596,13,65535
1778045171.379921,1,596,14,65535
1778045171.379921,1,596,15,65535
1778045171.379921,1,596,16,65535
1778045171.379921,1,596,17,65535
1778045171.379921,1,596,18,65535
1778045171.379921,1,596,19,65535
1778045171.379921,1,596,20,65535
1778045171.379921,1,596,21,65535
1778045171.379921,1,596,22,65535
1778045171.379921,1,596,23,65535
1778045171.379921,1,596,24,65535
1778045171.379921,1,596,25,65535
1778045171.379921,1,596,26,65535
1778045171.379921,1,596,27,65535
1778045171.379921,1,596,28,65535
1778045171.379921,1,596,29,65535
1778045171.379921,1,596,30,65535
1778045171.379921,1,596,31,65535
1778045171.4846652,1,597,0,65535
1778045171.4846652,1,597,1,65535
1778045171.4846652,1,597,2,65535
1778045171.4846652,1,597,3,65535
1778045171.4846652,1,597,4,65535
1778045171.4846652,1,597,5,65535
1778045171.4846652,1,597,6,65535
1778045171.4846652,1,597,7,65535
1778045171.4846652,1,597,8,65535
1778045171.4846652,1,597,9,65535
1778045171.4846652,1,597,10,65535
1778045171.4846652,1,597,11,65535
1778045171.4846652,1,597,12,65535
1778045171.4846652,1,597,13,65535
1778045171.4846652,1,597,14,65535
1778045171.4846652,1,597,15,65535
1778045171.4846652,1,597,16,65535
1778045171.4846652,1,597,17,65535
1778045171.4846652,1,597,18,65535
1778045171.4846652,1,597,19,65535
1778045171.4846652,1,597,20,65535
1778045171.4846652,1,597,21,65535
1778045171.4846652,1,597,22,65535
1778045171.4846652,1,597,23,65535
1778045171.4846652,1,597,24,65535
1778045171.4846652,1,597,25,65535
1778045171.4846652,1,597,26,65535
1778045171.4846652,1,597,27,65535
1778045171.4846652,1,597,28,65535
1778045171.4846652,1,597,29,65535
1778045171.4846652,1,597,30,65535
1778045171.4846652,1,597,31,65535
1778045171.6970592,1,598,0,65535
1778045171.6970592,1,598,1,65535
1778045171.6970592,1,598,2,65535
1778045171.6970592,1,598,3,65535
1778045171.6970592,1,598,4,65535
1778045171.6970592,1,598,5,65535
1778045171.6970592,1,598,6,65535
1778045171.6970592,1,598,7,65535
1778045171.6970592,1,598,8,65535
1778045171.6970592,1,598,9,65535
1778045171.6970592,1,598,10,65535
1778045171.6970592,1,598,11,65535
1778045171.6970592,1,598,12,65535
1778045171.6970592,1,598,13,65535
1778045171.6970592,1,598,14,65535
1778045171.6970592,1,598,15,65535
1778045171.6970592,1,598,16,65535
1778045171.6970592,1,598,17,65535
1778045171.6970592,1,598,18,65535
1778045171.6970592,1,598,19,65535
1778045171.6970592,1,598,20,65535
1778045171.6970592,1,598,21,65535
1778045171.6970592,1,598,22,65535
1778045171.6970592,1,598,23,65535
1778045171.6970592,1,598,24,65535
1778045171.6970592,1,598,25,65535
1778045171.6970592,1,598,26,65535
1778045171.6970592,1,598,27,65535
1778045171.6970592,1,598,28,65535
1778045171.6970592,1,598,29,65535
1778045171.6970592,1,598,30,65535
1778045171.6970592,1,598,31,65535
1778045171.79854,1,599,0,65535
1778045171.79854,1,599,1,65535
1778045171.79854,1,599,2,65535
1778045171.79854,1,599,3,65535
1778045171.79854,1,599,4,65535
1778045171.79854,1,599,5,65535
1778045171.79854,1,599,6,65535
1778045171.79854,1,599,7,65535
1778045171.79854,1,599,8,65535
1778045171.79854,1,599,9,65535
1778045171.79854,1,599,10,65535
1778045171.79854,1,599,11,65535
